Date,Adj Close (TSLA),Adj Close (SEDG),Close (TSLA),Close (SEDG) ,High (TSLA),High (SEDG),Low (TSLA),Low (SEDG),Open (TSLA),Open (SEDG),Volume (TSLA),Volume (SEDG)
10/1/2019,48.93799973,83.15000153,48.93799973,83.15000153,49.18999863,84.91500092,47.82600021,82.72000122,48.29999924,84.26999664,30813000,629300
10/2/2019,48.62599945,81.12000275,48.62599945,81.12000275,48.93000031,83.04000092,47.88600159,80.30999756,48.65800095,82.43000031,28157000,694400
10/3/2019,46.60599899,81,46.60599899,81,46.89599991,82.05500031,44.85599899,78.42500305,46.37200165,81.16999817,75422500,689000
10/4/2019,46.2859993,85.5,46.2859993,85.5,46.95600128,85.51999664,45.61399841,81.34500122,46.3219986,81.91000366,39975000,802900
10/7/2019,47.54399872,85.51000214,47.54399872,85.51000214,47.7120018,86.95899963,45.70999908,83.58999634,45.95999908,86.08999634,40321000,735500
10/8/2019,48.00999832,87.22000122,48.00999832,87.22000122,48.7879982,88.51000214,46.90000153,84.5,47.17399979,84.69000244,43391000,732800
10/9/2019,48.90599823,85.55000305,48.90599823,85.55000305,49.45999908,87.79000092,48.13000107,83.54000092,48.26399994,87.69000244,34472000,765200
10/10/2019,48.94800186,88.38999939,48.94800186,88.38999939,49.85599899,90,48.31600189,85.53900146,49.05599976,85.61000061,31416500,647000
10/11/2019,49.57799911,88.94999695,49.57799911,88.94999695,50.2159996,90.05500031,49.36199951,88.01000214,49.43000031,88.87999725,42377000,774200
10/14/2019,51.39199829,89.10500336,51.39199829,89.10500336,51.70999908,90.5,49.42599869,88.37000275,49.58000183,89.5,51025000,523600
10/15/2019,51.57799911,84.80000305,51.57799911,84.80000305,52,87.48999786,50.82400131,83.33999634,51.54000092,85.80000305,32164000,2083900
10/16/2019,51.95000076,83.87999725,51.95000076,83.87999725,52.41999817,84.62999725,51.38399887,82.91999817,51.47800064,84.16999817,33420500,1072800
10/17/2019,52.39400101,83.62000275,52.39400101,83.62000275,52.95600128,85.55000305,52.0340004,82.68000031,52.5,84.01000214,23846500,9443000
10/18/2019,51.38999939,85.16999817,51.38999939,85.16999817,52.56000137,86.68000031,51.02000046,84.05000305,52.13999939,84.19999695,28749000,1371500
10/21/2019,50.70000076,87.26999664,50.70000076,87.26999664,51.90000153,88.41500092,50.0359993,85.01000214,51.66600037,85.37999725,25101500,753300
10/22/2019,51.11600113,86.80999756,51.11600113,86.80999756,51.66600037,89.29000092,50.16999817,85.08999634,50.86399841,87.40000153,23004000,913300
10/23/2019,50.93600082,91.5,50.93600082,91.5,51.22800064,92.59999847,50.27000046,86.97000122,50.90000153,87.08999634,26305500,1514500
10/24/2019,59.93600082,93.5,59.93600082,93.5,60.98600006,95,57.84000015,91.12999725,59.67399979,92.12000275,148604500,1666600
10/25/2019,65.62599945,93.19999695,65.62599945,93.19999695,66,93.30999756,59.22200012,88.26999664,59.54399872,92.87999725,150030500,1124800
10/28/2019,65.54199982,93.31999969,65.54199982,93.31999969,68.16799927,96.68800354,64.51999664,93.02999878,65.50800323,93.76000214,94351500,933800
10/29/2019,63.24399948,92.08000183,63.24399948,92.08000183,64.86000061,94.92199707,62.95000076,91.84999847,63.9980011,93.80999756,63421500,777000
10/30/2019,63.0019989,84.81999969,63.0019989,84.81999969,63.75799942,90.20500183,61.99399948,82.69999695,62.59999847,89.58000183,48209000,2521900
10/31/2019,62.98400116,84.95999908,62.98400116,84.95999908,63.79999924,86.80999756,62.59999847,83.41999817,62.61999893,85.51000214,25335000,941700
11/1/2019,62.66199875,83.19000244,62.66199875,83.19000244,63.29600143,85.7480011,61.95999908,82.12000275,63.26399994,85.37000275,31919500,933900
11/4/2019,63.49399948,79.59999847,63.49399948,79.59999847,64.38800049,85,61.85200119,79.15000153,62.95999908,84.84999847,43935000,1963000
11/5/2019,63.44400024,83.26999664,63.44400024,83.26999664,64.70200348,83.56500244,63.22399902,77.48999786,63.92399979,77.51999664,34717000,1711400
11/6/2019,65.31600189,79.91000366,65.31600189,79.91000366,65.34400177,85,62.90000153,79.68000031,63.59999847,83.77999878,39704500,2397800
11/7/2019,67.10800171,79.90000153,67.10800171,79.90000153,68.30000305,84.08999634,65.60399628,75.11000061,65.82800293,78.19000244,72336500,4549400
11/8/2019,67.4280014,77.94999695,67.4280014,77.94999695,67.49199677,80.56999969,66.5,76.30999756,66.90000153,79.90000153,30346000,1456600
11/11/2019,69.01799774,81.06999969,69.01799774,81.06999969,69.83799744,82,68.40000153,77.65000153,68.79000092,78.43000031,49933500,1352200
